method,target_filter,sensor_id,sensor_name,sensor_group,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,lowpass_5hz,4,head,other,16028,2.2380485280708884,1.8358658468566766,0.9469592216418997,0.9510818503691569,1.2846392114928988,2.2380485280708884,2.2588379775814107,6.894221074674119,0.9943382160437397,1.570491532913205,-0.11460596405668329,0.8790888828779125,1.0342105490648197,1.7059083404445081,-0.04041677703056113,0.7983639775476364,1.213237564765608,2.1759235515095985,0.14954876500069245,0.6682302354077522
bspline_q_knot10,lowpass_5hz,5,pelvis,other,16028,2.2266320032663636,1.8187664111533988,0.9279933774367195,0.9521652011163294,1.1960519207748643,2.2266320032663636,2.2284173076534524,6.668870073296397,1.0125952123592799,1.5242749381697378,0.10815182159615531,0.46458271785545435,1.2496981675119985,2.3699812117867607,-0.09512873051029386,0.33217346154944466,1.0249553816334203,1.4083709538558526,0.39170694086297503,0.7842668228253427
bspline_q_knot15,centered_ma21,0,left_forearm,other,16028,4.5526039419428175,3.83331054119645,0.8069390762535001,0.8203974531482252,1.9565239561480123,4.5526039419428175,4.832867312843399,13.836485653458526,2.4180174603441063,4.506837033652896,2.1341175660779776,0.5419681680694236,2.4295700886191027,3.6748331938810366,0.11195125423041064,0.3933060641520074,2.0449300235862173,3.2041894552270658,0.9327955290034385,0.4845960983440085
bspline_q_knot15,centered_ma21,1,right_forearm,other,16028,5.012144517006388,4.512064817038427,0.788413399607953,0.774041849992785,2.3205328471707456,5.012144517006388,5.996214979477541,15.396273490219512,2.9964099848029564,5.980378938955371,2.6968489124905823,0.4315730254968214,2.2303992694695403,3.4528111849640615,-0.39710794817229633,0.4503705372676978,2.256599395022106,3.659145994211511,1.1634963857234688,0.50972029269357
bspline_q_knot15,centered_ma21,2,left_lower_leg,lower_leg,16028,2.53329620773482,2.114101103107494,0.9270580143287886,0.9366943709385797,0.7870987721340577,2.53329620773482,2.6439895511059324,7.716441900205129,0.9990337290462931,1.7911181331149932,-0.5490234552873082,0.48483439280505464,1.0918038921987656,1.7723264322810002,-0.31728608949563064,0.3102902679181346,1.6443650994096075,2.6568826231404605,0.5332941078005637,0.5057552782351712
bspline_q_knot15,centered_ma21,3,right_lower_leg,lower_leg,16028,2.5600955612974508,2.180074789043101,0.8862130395458877,0.9317303754358438,0.7990329366185079,2.5600955612974508,2.7756240693741385,8.100007208035754,1.0383004780870608,1.8702807472018719,0.32601515388595964,0.46670928204958295,1.0509710291645635,1.8769765812009285,-0.22243226275272174,0.1048507235550124,1.6682574320703463,2.6902020551871644,0.6061497699391409,0.44194391266895905
bspline_q_knot15,centered_ma21,4,head,other,16028,1.4774442084441397,1.2065241473581478,0.975628671839306,0.9776456333228852,0.6437557315320518,1.4774442084441397,1.47792427593899,3.8914132332493767,0.7367252069436627,1.1269975923931643,-0.07619266059496488,0.9245478321051499,0.7868163692107499,1.2762071424221935,-0.05928936321716208,0.8361771355249421,0.6707498081419399,1.2117232814654955,0.1825176740166554,0.8295350167933656
bspline_q_knot15,centered_ma21,5,pelvis,other,16028,1.3600257546910934,0.9447719839725586,0.9793174587513107,0.9863327235176517,0.4862785480578468,1.3600257546910934,0.9100067316648023,3.202456130053754,0.7268772003673379,1.0032054716986123,0.15011292373244828,0.636992473750403,0.5166745660626679,0.815621548664189,-0.0816227458061807,0.7136620527093706,0.769650619244715,1.0030566165510943,0.3611601214030957,0.864701167386092
bspline_q_knot15,lowpass_5hz,0,left_forearm,other,16028,5.4338503992371505,4.67369987035604,0.7454992959483311,0.7663391005672536,2.7647322466113855,5.4338503992371505,6.000306764925311,17.090872989052304,2.811238568553565,5.431506728216695,2.1338050414073986,0.48703230626168426,2.8356885510007412,4.475656603593464,0.11208551256883546,0.32311527649565625,2.4821714165369473,3.9997054969766443,0.9332509307890996,0.3903492713186203
bspline_q_knot15,lowpass_5hz,1,right_forearm,other,16028,5.96103203132034,5.433631760435865,0.7303844061492668,0.7177182899846432,3.2070990737886076,5.96103203132034,7.282798874445519,19.091823814223883,3.422125974898863,6.93025816090788,2.6964575301374345,0.39471351698642543,2.775119777261077,4.532248342590346,-0.397822610371029,0.3602381346978858,2.692061454848062,4.472505909253652,1.1642599102128421,0.42224272982408373
bspline_q_knot15,lowpass_5hz,2,left_lower_leg,lower_leg,16028,3.342110657437245,2.839836944760558,0.8795418487363365,0.8944580765304541,1.3867136265909537,3.342110657437245,3.608921995821649,10.647798418815116,1.4445561530719637,2.74278551338575,-0.5490970307658621,0.3363415049604636,1.4829526959800516,2.4833993211575702,-0.3174911773684912,0.1586862349349553,1.9884520910114647,3.2409685369834,0.533473108544853,0.44030497365676524
bspline_q_knot15,lowpass_5hz,3,right_lower_leg,lower_leg,16028,3.496933580590277,3.0712084779452105,0.8042045327181131,0.8770567394797036,1.4998941303561828,3.496933580590277,4.008543386062783,11.791412756217829,1.5835704521522658,3.0596222681314242,0.321760705268949,0.3003160176505214,1.4845129652144373,2.6808259771659886,-0.21978200612268783,-0.02348107525659327,2.075220460884612,3.427659289006706,0.6027545484346022,0.38386796774884735
