method,target_filter,sequence_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot15,centered_ma21,s5_rom3,34386,0.9756190535177077,0.8961710648168402,0.9879659325750363,0.9875960457360357,0.37610385467302465,0.9756190535177077,1.2072842228150171,2.9725354809473594,0.4661122546259096,1.0646850159355072,0.22051307356566965,0.9883628960514327,0.3989435241541352,0.7076069848368897,-0.11709673978942142,0.9858788432225166,0.5594124561703646,0.8804009905135852,0.377303398666894,0.9800457836341939
bspline_q_knot15,centered_ma21,s5_walking2,22272,3.4824759224899906,2.5394126838925435,0.9116030485392137,0.9108429486566016,1.108885255020384,3.4824759224899906,2.686672995848299,8.656538207607444,1.5133218247230529,2.168681584363809,0.5396113180893928,0.9642119541265911,1.7163848084369786,2.563197846965815,-0.2444969854652885,0.7821933790118996,2.013459031583433,2.8412474936714123,0.40084158447752843,0.8214781374155129
bspline_q_knot15,lowpass_5hz,s5_freestyle1,18288,4.7135485621194295,3.8027418579355206,0.8313008123697457,0.8276488394246295,2.3310581386545333,4.7135485621194295,4.6005431056372625,14.478587108309938,2.416657026224819,4.080791966543704,1.1099390928819386,0.8619626425448904,2.345666644996757,3.748181690542085,-0.12056771000839044,0.7317801479387732,2.311098839100536,3.5610121952560254,0.6476904647568729,0.7776871324865031
bspline_q_knot15,lowpass_5hz,s5_freestyle3,21222,6.826575181103412,5.757037670789341,0.7045276518784163,0.6964235657197152,3.772410469431496,6.826575181103412,7.268309261816367,19.730379399581683,3.626389673307429,7.037710264963245,1.6546304179705305,0.699063704565768,3.224349078518278,4.960112445756512,-0.1789305394495658,0.6339007548907626,3.2266524804641517,5.029748202499303,1.2632993928899334,0.6719938520741391
bspline_q_knot15,lowpass_5hz,s5_rom3,34386,1.1272426373977749,1.033575180261343,0.9840720130691193,0.9837079816487101,0.4693035777708697,1.1272426373977749,1.3907397298521793,3.597226578457608,0.5403255444850459,1.1963605686365497,0.21942801312176788,0.9852830711529984,0.49078215054204655,0.8792090450343745,-0.11673528357756303,0.9785314042905531,0.6170916186644931,1.0002728651214021,0.37699931501251394,0.9735761733544203
bspline_q_knot15,lowpass_5hz,s5_walking2,22272,4.310413750866343,3.0923137729001855,0.8770834160455362,0.8763537604245467,1.9727341143865906,4.310413750866343,3.1792368119639796,10.382265327387982,1.851316508934402,2.8992259572792443,0.5390027938794928,0.9349687332200474,2.1154572082680954,3.021396067802635,-0.24406763747059285,0.7163239951509717,2.398373113790361,3.339591001950624,0.40024784312122547,0.7720007400301838
bspline_q_knot21,centered_ma21,s5_freestyle1,18288,3.3893525045467188,2.831326469121426,0.8958625785732537,0.8921310185399633,1.3423914908769292,3.3893525045467188,3.5442232328347614,10.965234000127577,1.855777287522498,3.293261485474866,1.0794859085293222,0.9042745211042614,1.5824416983231804,2.560441124229908,-0.11988298893870242,0.8448431042865818,1.6683759771846398,2.5783325545559412,0.6212381881734206,0.869252808865478
bspline_q_knot21,centered_ma21,s5_freestyle3,21222,5.798942473490332,5.106010348060245,0.7200677882475983,0.7122960308164702,2.6161110121013142,5.798942473490332,6.677296699461897,17.501120104843864,3.181583179135132,6.3541003433759835,1.6500500463863648,0.7001425761108889,2.6718399965171233,4.1294659708954295,-0.2022900154969412,0.693545903665257,2.7488579319146305,4.559270187762596,1.2167881684614177,0.6916445972797863
bspline_q_knot21,centered_ma21,s5_rom3,34386,0.9777150137929844,0.8965821319585292,0.9879482116492453,0.9875863314636298,0.3778274348294481,0.9777150137929844,1.2065040032447836,2.956502472801612,0.46901328960868044,1.0671265018649172,0.21711691137460729,0.9882962744144906,0.3995752344618279,0.707793233653843,-0.116727152618887,0.9858683863482453,0.5590228793320675,0.8785489886473522,0.3759653281628829,0.9801166331054351
bspline_q_knot21,centered_ma21,s5_walking2,22272,3.6049573124871754,2.64185430304609,0.9045152939040982,0.9035936998485495,1.1473258907313968,3.6049573124871754,2.8182379691421855,8.893666759363127,1.5538721291087927,2.2616670986032257,0.5734657095769191,0.9590993541159888,1.7940264837413096,2.6766295774455293,-0.19350706477431315,0.7698036065272567,2.088032021260787,2.942566654437731,0.3993214450773321,0.8109733247253741
bspline_q_knot21,lowpass_5hz,s5_freestyle1,18288,4.622991968656114,3.7554587027407216,0.835700591379869,0.8322515561897207,2.2699993023118235,4.622991968656114,4.575844781208617,14.411893612823341,2.38228729353399,4.036070905739051,1.0783632583644398,0.8648841487839647,2.299925284102237,3.7300886167228957,-0.11973160795103,0.7332216127993785,2.2543294591263603,3.479508695091032,0.6205995873929467,0.7877405417881823
bspline_q_knot21,lowpass_5hz,s5_freestyle3,21222,7.58426132509098,6.258257394270861,0.6467890508998005,0.640129511897044,4.027570949849789,7.58426132509098,7.74443910115942,21.068622113681418,4.014958181568116,7.558422884463609,1.6497344338108906,0.6398863425058552,3.6074116577871345,5.400873199190093,-0.2021610679544551,0.5810357054076744,3.606005159450024,5.585532116524325,1.2163847717908807,0.6061462837296838
bspline_q_knot21,lowpass_5hz,s5_rom3,34386,1.1293304440205734,1.0341478220567413,0.9840460312293072,0.9836900330833794,0.4712493498113314,1.1293304440205734,1.3903229487433484,3.599661892800393,0.5431587449302071,1.1988304545207442,0.2160318509307055,0.985207894758389,0.49133269898107407,0.8797553649102468,-0.1163656964070286,0.9785021857307569,0.6168727773983074,0.9986096298450807,0.37566124450850286,0.9736438992013812
bspline_q_knot21,lowpass_5hz,s5_walking2,22272,4.429817512942195,3.17635956303251,0.8702983498993687,0.8694134558620007,2.0018480094904954,4.429817512942195,3.2625905386724288,10.630152151095661,1.8964690932389725,2.9671064151419158,0.5728571853670191,0.9300921846093048,2.195299121748862,3.123326449992193,-0.1930777167796175,0.7041414432655371,2.456988761329358,3.421825774204041,0.3987277037210291,0.762740660297495
bspline_q_knot30,centered_ma21,s5_freestyle1,18288,3.7208331695047434,3.0448756253265747,0.8790955279333345,0.8754353936260552,1.5319652308722869,3.7208331695047434,3.737539731673362,11.963942543760584,1.978122554190678,3.4471645282198016,1.0862115180849674,0.8930588431088543,1.7566205570615816,2.7876259258539147,-0.0860279747888057,0.8197132826390484,1.8631952990419174,2.8565715699092777,0.6418541807096368,0.8428383056585939
bspline_q_knot30,centered_ma21,s5_freestyle3,21222,6.9799992171548055,6.149268476363347,0.644730459818934,0.6396877706556175,3.46407249073568,6.9799992171548055,8.044881559830843,24.072220971723294,3.6600891684975196,6.863412880125566,1.4853680975502193,0.6704580850929562,3.3940994656016756,5.744769729045195,-0.26919368495524637,0.5410955368189228,3.337665980296756,5.773360614093018,1.185417223377344,0.6076294641828422
bspline_q_knot30,centered_ma21,s5_rom3,34386,0.9792919263066959,0.8967077411209381,0.9879483409524641,0.9875825288564968,0.3785454786804436,0.9792919263066959,1.2055047250132067,2.9663358899466328,0.46804103111975537,1.0669007193270663,0.21801707637832307,0.9883028478776376,0.4014962986272291,0.7083275451087043,-0.11684435785104509,0.9858468269120565,0.5606520001708826,0.8787771406325445,0.3775035062907596,0.9801403549581064
bspline_q_knot30,centered_ma21,s5_walking2,22272,3.6183989676137696,2.677146694602208,0.9020319055421121,0.9012243797823457,1.2253261870933212,3.6183989676137696,2.899746917306784,9.072285246229981,1.5564325883644328,2.3224445631887174,0.5355594446669704,0.9551938338094529,1.7511900223763122,2.647920622240009,-0.2003337114909969,0.7770160321955811,2.1295275408922616,3.015975945277057,0.40060458357937745,0.8034508046317661
