comparison,input,target,dataset,split,sequence_name,sensor,valid_frames,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,energy_a,energy_b,root_abs_mean_aM_rel,leakage_raw_corr,leakage_rel_corr
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,left_forearm,578,0.03464088216423988,0.18612061440944672,0.08807850629091263,0.17590384185314178,0.9916080236434937,0.8664684891700745,0.08337728679180145,0.10234221071004868,0.0767996683716774,0.08509363234043121,1.2865326404571533,1.2933869361877441,0.0,0.9295265078544617,0.9447156190872192
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,right_forearm,578,0.03463984280824661,0.18611781299114227,0.08807503432035446,0.17589563131332397,0.9901902675628662,0.8987761735916138,0.08629200607538223,0.10234367847442627,0.07678376138210297,0.08509767055511475,1.1221133470535278,1.1214607954025269,0.0,0.9295265078544617,0.9447156190872192
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,left_lower_leg,578,0.034642767161130905,0.18612568080425262,0.08808508515357971,0.17591018974781036,0.559939980506897,0.4984249770641327,0.09388083964586258,0.10235235095024109,0.0768062099814415,0.08509665727615356,0.19146807491779327,0.19436098635196686,0.0,0.9295265078544617,0.9447156190872192
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,right_lower_leg,578,0.034643374383449554,0.18612730503082275,0.08807766437530518,0.17590385675430298,0.6717966794967651,0.554660439491272,0.07262290269136429,0.10234344005584717,0.07679517567157745,0.0850943773984909,0.2216046303510666,0.22193491458892822,0.0,0.9295265078544617,0.9447156190872192
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,head,578,0.034638661891222,0.18611465394496918,0.08807852119207382,0.1758992075920105,0.8229030966758728,0.8220083117485046,0.0891115665435791,0.1023428663611412,0.07679545134305954,0.08509726077318192,0.3052491843700409,0.33898839354515076,0.0,0.9295265078544617,0.9447156190872192
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,pelvis,578,0.03464069962501526,0.18612012267112732,0.08808290958404541,0.17590738832950592,0.38220757246017456,0.3275274336338043,0.10976525396108627,0.10234297811985016,0.07681452482938766,0.0850912407040596,0.19003994762897491,0.08825436234474182,0.0,0.9295265078544617,0.9447156190872192
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,overall,578,0.0979033038020134,0.3128950297832489,0.12072696536779404,0.2454722374677658,0.9276140928268433,0.5342694520950317,0.14968295395374298,0.1245904266834259,0.11916804313659668,0.11842240393161774,0.4426380693912506,0.5430643558502197,0.0,0.9295265078544617,0.9447156190872192
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,left_forearm,578,0.1993652731180191,0.4465033710002899,0.17933326959609985,0.36751511693000793,0.9533343315124512,0.7226609587669373,0.22480636835098267,0.19158963859081268,0.20344872772693634,0.1429615020751953,1.1231895685195923,1.2933869361877441,0.0,0.9295265078544617,0.9447156190872192
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,right_forearm,578,0.21221955120563507,0.46067294478416443,0.19153501093387604,0.38604217767715454,0.9421164989471436,0.7433222532272339,0.23098786175251007,0.18061232566833496,0.20245085656642914,0.1915418952703476,0.9516196250915527,1.1214607954025269,0.0,0.9295265078544617,0.9447156190872192
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,left_lower_leg,578,0.0403057336807251,0.20076288282871246,0.08604761958122253,0.17487862706184387,0.3733132481575012,0.39875349402427673,0.10893762856721878,0.07542280852794647,0.08247028291225433,0.1002497598528862,0.12661343812942505,0.19436098635196686,0.0,0.9295265078544617,0.9447156190872192
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,right_lower_leg,578,0.04477858915925026,0.21160952746868134,0.09475144743919373,0.19209741055965424,0.4451074004173279,0.41853296756744385,0.11092133820056915,0.08455510437488556,0.08668901771306992,0.11301020532846451,0.13896207511425018,0.22193491458892822,0.0,0.9295265078544617,0.9447156190872192
