source,solution_type,bias_mode,comparison_space,method,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
accfit_loo,projected,no_bias,sensor_specific_force,savgol9_p3_fd,80580,2.149380238193985,2.642855730575169,0.9322313745169318,0.93273528089679,1.0080054796774909,2.149380238193985,4.041562053162515,7.106922922263485,0.9310728820383818,2.832840608083282,0.016332916294412744,0.948524497405814,1.1616831898742919,2.569365494856015,-0.061366833008382145,0.8418062426501667,1.1026151499938404,2.5154391825165807,0.18023474683261412,0.9148415079523801
accfit_per_sequence,projected,no_bias,model_world_linear_acc,raw_fd,80580,2.715847318450504,3.13726341836556,0.7686118511192902,0.768597362502922,1.4596872778907848,2.715847318450504,4.706531484172764,8.165759554080887,1.419776829437988,2.9659754426765916,-0.05321284555074763,0.7680261060938004,1.1654345901292322,2.961265663449558,0.02663137601782353,0.793938543800532,1.458426538541669,3.458491088980615,0.12403019054296532,0.7493380961252494
accfit_per_sequence,projected,no_bias,model_world_linear_acc,savgol15_p3_fd,80580,2.273632829356134,2.807562609906947,0.7998458721856968,0.7998221132682746,1.309612154931857,2.273632829356134,4.298583159939627,7.9623954564726125,1.1543721379885763,2.605250168455948,-0.04810973666279516,0.8062128002112231,1.0445529535827018,3.031710687992591,0.02451584724781974,0.7732196542675376,1.1882633255884796,2.769228284146013,0.13721848198296593,0.8201796655503878
accfit_per_sequence,projected,no_bias,model_world_linear_acc,savgol9_p3_fd,80580,2.1394397500386977,2.6363440012786272,0.8262235017917107,0.8262021888203323,1.1792643214637828,2.1394397500386977,4.034070727588667,7.049559332322866,1.0975339694900463,2.431946558211201,-0.049724269874289226,0.833904702216853,0.9650152573348586,2.8498243667482255,0.02476259660032169,0.802956721478494,1.1233539562048258,2.6105681557711105,0.1328831531817533,0.8424320250524199
accfit_per_sequence,projected,no_bias,sensor_specific_force,raw_fd,80580,2.7158472069361523,3.1372633722273724,0.9068864782462319,0.9074554763335161,1.2503220094867142,2.7158472069361523,4.7065314562568785,8.165757993104018,1.1861956415972486,3.1712743993456933,0.09368775138215525,0.9363135844267575,1.4541985113019344,3.097957603501021,-0.08481398015565353,0.7861219806732468,1.4040132562351264,3.1421237676328437,0.23563910830456664,0.8722331290417622
accfit_per_sequence,projected,no_bias,sensor_specific_force,savgol15_p3_fd,80580,2.2736326800177036,2.8075624184038532,0.9231238476017839,0.9237035181082316,1.1095230888433159,2.2736326800177036,4.298582863695499,7.962397758485104,1.0072091325106045,3.0016919638195203,0.003923354623092882,0.9420129423491874,1.229084046336548,2.7681015272242666,-0.054945828490325456,0.8130774678180451,1.1398058485775315,2.6409618492172644,0.19195279878988333,0.9057513755305938
accfit_per_sequence,projected,no_bias,sensor_specific_force,savgol9_p3_fd,80580,2.1394396226748613,2.636343834845596,0.9325818670930769,0.9330834034126195,1.0043344309340736,2.1394396226748613,4.034070468833434,7.049560227755299,0.9252505150540699,2.8265952172103384,0.014178071335274087,0.9487572171747591,1.1566648547883833,2.562126553331594,-0.05630064973427748,0.8428678541183903,1.0986062582514333,2.50934123812246,0.17476071545373742,0.9152511601882123
old_footlock_rjs,baseline,baseline,model_world_linear_acc,raw_fd,80580,4.188702200217192,4.843998028597733,0.4951647562976975,0.49516019020798524,2.1496517443542116,4.188702200217192,7.2696440477558335,14.03670030971442,2.1668209713730846,4.855166547886109,-0.05296049367203143,0.4476981600215369,1.7579228351069727,4.328976376620444,0.026315634410858865,0.5716836124316779,2.3039205584437448,5.299082187145806,0.12367842601624693,0.47334942757906123
old_footlock_rjs,baseline,baseline,model_world_linear_acc,savgol15_p3_fd,80580,3.3107450456287313,3.6898756963700325,0.6202289919663755,0.6202135488206865,1.824481313469751,3.3107450456287313,5.466673138832385,11.986610853175636,1.6744534231257675,3.63647594527955,-0.04802628614587585,0.5792472293892,1.4818494349568305,3.630097728924981,0.024071649274471883,0.6511858503497685,1.7791764839102746,3.800523798352486,0.13697531371360996,0.6263203290415323
old_footlock_rjs,baseline,baseline,model_world_linear_acc,savgol9_p3_fd,80580,3.4256552549926487,3.856079072083553,0.5992139871873443,0.5992031377113262,1.777617003302583,3.4256552549926487,5.733491388711029,12.291860706458122,1.7365393144518266,3.820332459271692,-0.049331777405194184,0.5574388890379401,1.5190190306237095,3.7668170291921084,0.024057219156588122,0.6308064302421431,1.8503715369485634,3.9779626443326133,0.1317621901432562,0.6052730874396425
old_footlock_rjs,baseline,baseline,sensor_specific_force,raw_fd,80580,4.188702144717044,4.84399807250843,0.7872031284784438,0.7873903968671134,1.8846057150988769,4.188702144717044,7.269644167511847,14.036700878353217,1.8359216589282366,4.302171564307745,0.40698712785365504,0.8819502405018879,2.4242917929428724,5.667091490564032,-0.18302477883292276,0.4365938917429616,1.949633634149001,4.446160798738025,0.6483834140234077,0.762556358943152
old_footlock_rjs,baseline,baseline,sensor_specific_force,savgol15_p3_fd,80580,3.3107448052304225,3.689875493779739,0.8643664702140333,0.8644603222193328,1.5590298431707676,3.3107448052304225,5.46667287419218,11.98660819944883,1.5643207682331348,3.9000777522342123,0.410384009258308,0.9011021798833259,1.8107040412353586,3.733103431614429,-0.17140446551445557,0.64150396728863,1.5490298558335591,3.4203619361385034,0.6446362319950834,0.8423429773114788
old_footlock_rjs,baseline,baseline,sensor_specific_force,savgol9_p3_fd,80580,3.4256550570260393,3.8560789310046135,0.8532146294008522,0.8532958942093427,1.5602618088997633,3.4256550570260393,5.733491222343065,12.291858857568103,1.5785240738654898,3.8983753179715093,0.40907342263259117,0.9013267640507191,1.92131456520964,4.1278544696528225,-0.17948125767692102,0.5900672138158068,1.590680839369274,3.517317376070973,0.6514142057218131,0.8354126750171532
vertex_baseline,baseline,baseline,model_world_linear_acc,raw_fd,80580,2.836417882490351,3.3359549460586764,0.7462719154394356,0.746258338236737,1.5142850323512884,2.836417882490351,5.0339368095248265,8.737760702505778,1.4747558395908849,3.2296848827569673,-0.05300674074263904,0.735928775461568,1.2115490586379232,3.1214314669307752,0.0264548338496617,0.7749147545776981,1.5356067676381937,3.634774733287544,0.1231268813626942,0.7320081046971857
vertex_baseline,baseline,baseline,model_world_linear_acc,savgol15_p3_fd,80580,2.372107629836341,2.8711971256787234,0.7895439299089784,0.7895212615741749,1.3550169976125692,2.372107629836341,4.370860807208291,8.459226395591974,1.1992551368387248,2.6708242608001584,-0.04815441109833545,0.7951659551669455,1.0844468497480975,3.076645754117512,0.02431458561323441,0.7654972676701448,1.2494969495061008,2.851713077276405,0.136764839687951,0.8080788806379522
vertex_baseline,baseline,baseline,model_world_linear_acc,savgol9_p3_fd,80580,2.280663870232685,2.742093549802016,0.8104620020346924,0.8104422593466551,1.2353021744693464,2.280663870232685,4.166029694878895,7.712499444617952,1.1592839488177877,2.5411569581220323,-0.049622428584082216,0.8170294289229695,1.0343541640993177,2.939598386709655,0.02436097571302111,0.7887797512886414,1.205327813921207,2.7310279651880975,0.1319149681063127,0.8260635085439362
vertex_baseline,baseline,baseline,sensor_specific_force,raw_fd,80580,2.8364178354923033,3.335954944406998,0.8959831165366398,0.8966577288911041,1.300606370697614,2.8364178354923033,5.03393683272264,8.737759007621131,1.2160535988684238,3.2586660834952457,0.009437646898334939,0.9326557433661268,1.4835413108010573,3.1923699041247144,-0.10584470858578938,0.7754227885757784,1.52313425513568,3.5462171288370103,0.2779183940181196,0.8438314068192136
vertex_baseline,baseline,baseline,sensor_specific_force,savgol15_p3_fd,80580,2.3721074299557565,2.871196918538333,0.9194832679197129,0.9200570677454564,1.1556381472795545,2.3721074299557565,4.370860507476846,8.45922634166702,1.0482600080898117,3.0487045571257987,0.021547629516332767,0.9402618910213967,1.2663953852804488,2.820491034026945,-0.09665802960333413,0.8051974642469697,1.2104957700507373,2.7352415040369027,0.30767083671326173,0.899243850306325
vertex_baseline,baseline,baseline,sensor_specific_force,savgol9_p3_fd,80580,2.280663704910471,2.7420933782233194,0.9268910099312123,0.927407940097326,1.0716077720664583,2.280663704910471,4.16602944658251,7.712499016581381,0.9905369048218591,2.905395776229041,0.0135242363758844,0.9457945896419656,1.2132261433254063,2.661271513400326,-0.10226347812302161,0.8295148099141054,1.1893531940833402,2.6520817483861463,0.2926300263444488,0.905775903580187
