mode,method,sequence_id,fit_sequences,sensor_id,sensor_name,mapped_joint_id,rJS_x,rJS_y,rJS_z,rJS_norm,rJS_projected_x,rJS_projected_y,rJS_projected_z,rJS_projected_norm,rJS_was_projected,bias_x,bias_y,bias_z,bias_norm,condition_number,residual_before_fit,residual_after_fit,residual_after_projected_fit,residual_after_with_bias_fit,fit_improvement,projected_fit_improvement,with_bias_fit_improvement,num_frames,valid_frame_ratio,orientation_residual_deg
per_sequence,savgol15_p3_fd,s5_walking2,s5_walking2,1,right_forearm,19,-0.21970368921756744,0.05176687613129616,0.0020546833984553814,0.22572936117649078,-0.21970368921756744,0.05176687613129616,0.0020546833984553814,0.22572936117649078,False,-0.10486723482608795,-0.17442764341831207,0.0038040324579924345,0.20355984568595886,1.664701223373413,4.048367500305176,1.4950056076049805,1.4950056076049805,1.4831774234771729,0.630713939666748,0.630713939666748,0.6336356997489929,3734,1.0,4.739381313323975
per_sequence,savgol15_p3_fd,s5_walking2,s5_walking2,2,left_lower_leg,4,-0.021929899230599403,-0.1638030707836151,0.042577821761369705,0.17066118121147156,-0.021929899230599403,-0.1638030707836151,0.042577821761369705,0.17066118121147156,False,0.1480625867843628,0.06045203283429146,-0.22771844267845154,0.2782672643661499,2.180001974105835,5.790035247802734,4.242879867553711,4.242879867553711,4.241913795471191,0.2672100067138672,0.2672100067138672,0.2673768699169159,3734,1.0,4.395455360412598
per_sequence,savgol15_p3_fd,s5_walking2,s5_walking2,3,right_lower_leg,5,0.009410043247044086,-0.15793068706989288,0.04649775102734566,0.16490206122398376,0.009410043247044086,-0.15793068706989288,0.04649775102734566,0.16490206122398376,False,0.06037949025630951,0.0888124406337738,-0.26789340376853943,0.2886177599430084,2.0475735664367676,5.8313517570495605,4.46242618560791,4.46242618560791,4.466143608093262,0.23475269973278046,0.23475269973278046,0.23411521315574646,3734,1.0,4.629270076751709
per_sequence,savgol15_p3_fd,s5_walking2,s5_walking2,4,head,15,0.007541641592979431,0.21564899384975433,0.04674699530005455,0.2207864224910736,0.007541641592979431,0.21564899384975433,0.04674699530005455,0.2207864224910736,False,0.010606853291392326,-0.037271130830049515,-0.029129432514309883,0.048478513956069946,1.1079788208007812,1.6078948974609375,1.2452142238616943,1.2452142238616943,1.24261474609375,0.2255624234676361,0.2255624234676361,0.2271791249513626,3734,1.0,2.0885019302368164
per_sequence,savgol15_p3_fd,s5_walking2,s5_walking2,5,pelvis,0,0.002614331664517522,0.1435103416442871,-0.04855955392122269,0.1515258550643921,0.002614331664517522,0.1435103416442871,-0.04855955392122269,0.1515258550643921,False,0.034485507756471634,0.032710276544094086,-0.012140408158302307,0.04905712977051735,1.3978935480117798,2.742938280105591,2.609656572341919,2.609656572341919,2.610483169555664,0.048590850085020065,0.048590850085020065,0.04828949645161629,3734,1.0,4.313117980957031
global,raw_fd,GLOBAL,s5_freestyle1|s5_freestyle3|s5_rom3|s5_walking2,0,left_forearm,18,0.20043730735778809,0.040273651480674744,-0.014598926529288292,0.20496392250061035,0.20043730735778809,0.040273651480674744,-0.014598926529288292,0.20496392250061035,False,-0.20248623192310333,0.4154091477394104,-0.5734834671020508,0.7365111708641052,1.722307801246643,5.017961502075195,2.737485408782959,2.737485408782959,2.7150702476501465,0.4544626474380493,0.4544626474380493,0.4589296281337738,16116,1.0,8.791868209838867
global,raw_fd,GLOBAL,s5_freestyle1|s5_freestyle3|s5_rom3|s5_walking2,1,right_forearm,19,-0.19726711511611938,0.04011906683444977,0.012513838708400726,0.20169395208358765,-0.19726711511611938,0.04011906683444977,0.012513838708400726,0.20169395208358765,False,-0.5130465626716614,-0.14723612368106842,-0.8905128240585327,1.0382236242294312,1.5664585828781128,5.385350227355957,2.89984130859375,2.89984130859375,2.8108272552490234,0.46153151988983154,0.46153151988983154,0.47806045413017273,16116,1.0,9.609455108642578
global,raw_fd,GLOBAL,s5_freestyle1|s5_freestyle3|s5_rom3|s5_walking2,2,left_lower_leg,4,0.00482526607811451,-0.17780157923698425,0.02506791613996029,0.17962484061717987,0.00482526607811451,-0.17780157923698425,0.02506791613996029,0.17962484061717987,False,0.037173714488744736,0.08212288469076157,-0.2563771605491638,0.27176332473754883,1.5011496543884277,4.3836565017700195,3.24993896484375,3.24993896484375,3.252620220184326,0.25862371921539307,0.25862371921539307,0.258012056350708,16116,1.0,5.134835720062256
global,raw_fd,GLOBAL,s5_freestyle1|s5_freestyle3|s5_rom3|s5_walking2,3,right_lower_leg,5,0.0038290051743388176,-0.17223039269447327,0.03665992245078087,0.17613041400909424,0.0038290051743388176,-0.17223039269447327,0.03665992245078087,0.17613041400909424,False,0.0847209244966507,-0.03862645477056503,-0.2871258854866028,0.30184584856033325,1.3895641565322876,4.539230823516846,3.321624755859375,3.321624755859375,3.3288347721099854,0.2682406008243561,0.2682406008243561,0.2666522264480591,16116,1.0,5.12127685546875
global,raw_fd,GLOBAL,s5_freestyle1|s5_freestyle3|s5_rom3|s5_walking2,4,head,15,0.006441367324441671,0.1400996744632721,-0.006739575881510973,0.14040951430797577,0.006441367324441671,0.1400996744632721,-0.006739575881510973,0.14040951430797577,False,-0.004193905740976334,0.08142942935228348,-0.11307679861783981,0.1394084095954895,1.0993373394012451,2.473301410675049,1.9891061782836914,1.9891061782836914,1.9842395782470703,0.1957687884569168,0.1957687884569168,0.1977364420890808,16116,1.0,2.6737747192382812
