comparison,dataset,split,sequence_name,sensor,valid_frames,num_sequences,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,axis_rmse_x,axis_rmse_y,axis_rmse_z,energy_imu,energy_gt
smooth_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::original,overall_leaf_only,3104,1,0.12160657346248627,0.34872135519981384,0.24544543027877808,0.503349781036377,0.9904284477233887,0.8951641917228699,0.27587890625,0.2894345819950104,0.15894758701324463,0.2879542112350464,0.3923000395298004,0.24984563887119293,0.38535383343696594,3.0578789710998535,2.9911465644836426
smooth_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::original,left_forearm,3104,1,0.1112402006983757,0.3335269093513489,0.23981986939907074,0.4909801781177521,0.9923286437988281,0.9495673179626465,0.2611066997051239,0.281920462846756,0.16138522326946259,0.27615392208099365,0.38431042432785034,0.23773528635501862,0.35987231135368347,3.6757771968841553,3.674363851547241
smooth_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::original,right_forearm,3104,1,0.13030435144901276,0.3609769344329834,0.247217059135437,0.5099366307258606,0.9926506280899048,0.9356828927993774,0.2640829086303711,0.2915443778038025,0.14761853218078613,0.3024882376194,0.3912631571292877,0.22474902868270874,0.43279799818992615,3.664149284362793,3.632614850997925
smooth_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::original,left_lower_leg,3104,1,0.17469929158687592,0.4179704487323761,0.28971001505851746,0.591573178768158,0.9884029626846313,0.8581501841545105,0.33155956864356995,0.33517464995384216,0.20492951571941376,0.3290258049964905,0.4707593023777008,0.3251265585422516,0.443594753742218,3.23410701751709,3.1551501750946045
smooth_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::original,right_lower_leg,3104,1,0.11106608062982559,0.3332657814025879,0.23858985304832458,0.4888070523738861,0.9922425746917725,0.859889566898346,0.2734859883785248,0.2806328535079956,0.1546178013086319,0.28051894903182983,0.3708813786506653,0.2563430368900299,0.36046281456947327,3.171560764312744,3.0550990104675293
smooth_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::original,head,3104,1,0.08072296530008316,0.2841178774833679,0.21189044415950775,0.43545177578926086,0.9641408920288086,0.8725311160087585,0.24915924668312073,0.25790050625801086,0.12618684768676758,0.251583993434906,0.3309803903102875,0.18348020315170288,0.31457260251045227,1.5437999963760376,1.4385039806365967
raw_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::offset_aug_overlay,overall_leaf_only,3104,1,3.029717561275902e-07,0.0005504286964423954,0.00038602951099164784,0.0008211780223064125,1.000001072883606,0.9999993443489075,0.00039420954999513924,0.00023818966292310506,0.00046868339995853603,0.0004512153973337263,0.0003459518193267286,0.0005941572017036378,0.000660461897496134,3.718524694442749,3.7185277938842773
raw_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::offset_aug_overlay,left_forearm,3104,1,3.319543395718938e-07,0.0005761547945439816,0.0004104249819647521,0.0008700820035301149,1.0,0.9999997019767761,0.00043517001904547215,0.0002477543312124908,0.0005092673236504197,0.00047425326192751527,0.0003498947189655155,0.0006305834976956248,0.0006897833663970232,4.148550033569336,4.148552417755127
raw_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::offset_aug_overlay,right_forearm,3104,1,3.1053323823471146e-07,0.0005572551162913442,0.0004044203378725797,0.0008481377735733986,1.0000003576278687,0.9999995827674866,0.00040496705332770944,0.00025351549265906215,0.0005087123718112707,0.0004510331491474062,0.00035646476317197084,0.0006276734638959169,0.0006407485925592482,4.741332530975342,4.741335391998291
raw_leaf_relative,AMASS,train,MPI_HDM05/bk/HDM_bk_01-03_02_120_poses::offset_aug_overlay,left_lower_leg,3104,1,2.552061175720155e-07,0.0005051792832091451,0.0003441876615397632,0.0007350528612732887,0.9999999403953552,0.9999989867210388,0.0003549134125933051,0.0002218305744463578,0.0003633816377259791,0.0004473508452065289,0.000336130935465917,0.000455707311630249,0.0006670571165159345,3.884370803833008,3.8843727111816406
