mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
B,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.02939582990515044,0.06614308797504664
B,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.5706900772412938,0.6791967423479064
B,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.6988925709078666,0.8515877620752738
B,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.12820249366657277,0.17239101972736737
B,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,3.804730549865979,2.095233387040339
B,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,3.8443292220743173,2.2843337391754988
B,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.039598672208338126,0.18910035213515997
B,s5_freestyle1,savgol9_p3,4,head,fit,original,0.7686655471680292,0.8039433247939141
B,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.8780688542799835,1.0923140682828198
B,s5_freestyle1,savgol9_p3,4,head,fit,delta,0.10940330711195434,0.2883707434889058
B,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.9134486067135058,0.9655654030507426
B,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.956554590254849,1.1602288160345418
B,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.04310598354134321,0.1946634129837992
B,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.44467432855706346,0.6460886444848223
B,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.5305232806198289,0.7544285903459553
B,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.08584895206276544,0.10833994586113305
B,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.2350697169305127,2.053190086318538
B,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.2212045341132336,2.0711568807017735
B,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,-0.01386518281727911,0.017966794383235563
B,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.508910492678653,0.5435255964559254
B,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,refined,0.6375040429832459,0.6768109776758419
B,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,delta,0.12859355030459296,0.1332853812199165
B,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,original,3.2011255676385884,1.9943174051701533
B,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,refined,3.2641522156829366,2.1389660505318533
B,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,delta,0.06302664804434821,0.14464864536169997
B,s5_freestyle1,savgol15_p3,4,head,fit,original,0.48438566631749785,0.5562501231912587
B,s5_freestyle1,savgol15_p3,4,head,fit,refined,0.5774817430495724,0.7012535676244138
B,s5_freestyle1,savgol15_p3,4,head,fit,delta,0.0930960767320746,0.14500344443315516
B,s5_freestyle1,savgol15_p3,5,pelvis,other,original,0.5748573357526444,0.6956962168686017
B,s5_freestyle1,savgol15_p3,5,pelvis,other,refined,0.5845833911471443,0.7400352535973351
B,s5_freestyle1,savgol15_p3,5,pelvis,other,delta,0.009726055394499888,0.044339036728733405
C,s5_freestyle1,raw,0,left_forearm,fit,original,0.7874869418961845,1.1516751230958924
C,s5_freestyle1,raw,0,left_forearm,fit,refined,2.2847777380577052,3.6240243334475175
C,s5_freestyle1,raw,0,left_forearm,fit,delta,1.4972907961615207,2.4723492103516254
C,s5_freestyle1,raw,1,right_forearm,fit,original,1.4505914541617404,2.3271041254522045
C,s5_freestyle1,raw,1,right_forearm,fit,refined,2.6714270881683784,4.323369527400652
C,s5_freestyle1,raw,1,right_forearm,fit,delta,1.220835634006638,1.9962654019484471
C,s5_freestyle1,raw,2,left_lower_leg,heldout,original,1.2281576787881163,1.4703286112828067
C,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,1.760130906647156,2.6716991298273625
C,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.5319732278590397,1.2013705185445558
C,s5_freestyle1,raw,3,right_lower_leg,heldout,original,4.303043520672418,2.843391112197369
C,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,4.414272240384949,4.0465102466686265
C,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,0.11122871971253101,1.2031191344712573
C,s5_freestyle1,raw,4,head,fit,original,0.920007679540257,1.1133066474616264
C,s5_freestyle1,raw,4,head,fit,refined,2.5109646229918683,4.0568344730732475
C,s5_freestyle1,raw,4,head,fit,delta,1.5909569434516113,2.9435278256116213
C,s5_freestyle1,raw,5,pelvis,other,original,1.0947857282945996,1.2288844176942948
C,s5_freestyle1,raw,5,pelvis,other,refined,2.0975824448445417,3.374302836247287
C,s5_freestyle1,raw,5,pelvis,other,delta,1.002796716549942,2.1454184185529925
C,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.5605132233318629,0.7838144846177794
C,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.7159980537323396,1.006774484504648
C,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.15548483040047667,0.22295999988686865
C,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2735571726483184,2.0913177763560946
C,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.3029530025534688,2.1574608643311413
