comparison_space,method,sensor_id,sensor_name,mapped_joint_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
model_world_linear_acc,savgol9_p3_fd,0,left_forearm,18,16116,4.1411435010080755,4.683966700751588,0.5681424020965533,0.5681270516281011,1.9097129113871165,4.1411435010080755,6.976357406649099,15.795048645490844,2.1415114054973214,5.103485042186387,0.03575670474723673,0.4569529818408571,1.805021096494573,4.092522470227627,0.08496086642614892,0.6748848983859616,2.2501762483396575,4.798367682463581,-0.008735339975571197,0.5665489355785719
model_world_linear_acc,savgol9_p3_fd,1,right_forearm,19,16116,4.1664017095347745,4.486642515292693,0.6408645287787254,0.6408484575797944,2.216505211262384,4.1664017095347745,6.5598002999238885,14.487195028277977,1.9685823430604705,4.130354954356475,-0.34263427075706876,0.625853521038414,1.9974104621072921,4.467797294789428,0.04983602254148725,0.6737041939109791,2.227381202210412,4.834132648551445,0.4285647533393125,0.6217315390433753
model_world_linear_acc,savgol9_p3_fd,2,left_lower_leg,4,16116,3.2211944155792787,3.490570659433539,0.641668965440508,0.6416224186770462,1.8330120407846902,3.2211944155792787,5.116263980927464,10.922921049529812,1.708313365002445,3.5373419909765196,0.12349866557403794,0.6486268074871304,1.361717326494919,3.491012319886212,-0.062409305785542005,0.5591811952296533,1.7391766096781336,3.442716254176609,0.11757895022577641,0.6937008455340354
model_world_linear_acc,savgol9_p3_fd,3,right_lower_leg,5,16116,3.6308401029007022,4.169764259462474,0.5875902963066445,0.5875833578523102,1.9988589021485474,3.6308401029007022,6.243220489910629,13.259542113272348,1.8409004746527695,3.8213499194299096,-0.007751445107004352,0.6123383119010342,1.6455087887978963,4.499838408430398,0.05575058305417376,0.5100506722063134,1.927386050258173,4.1604736544965055,0.142401787440842,0.6344245430572193
model_world_linear_acc,savgol9_p3_fd,4,head,15,16116,1.9686982955709125,1.6450623378266016,0.6764356932805726,0.6763654867460542,0.9299886064422646,1.9686982955709125,2.05983429115615,5.510098662563265,1.0233898851247578,1.659458229869759,-0.05552863477689156,0.4933504908255281,0.7854353557181304,1.3412226658875814,-0.007852323472681997,0.8660517063253775,1.107743483019651,1.8883883154249568,-0.020999048232984145,0.42677840001745987
sensor_specific_force,raw_fd,0,left_forearm,18,16116,5.546930809316815,6.887388667818121,0.6463646073066832,0.6687780988379837,2.5662065551414224,5.546930809316815,10.561246450179086,20.700407561267635,2.2610542376952876,5.037624112716012,0.611928180110109,0.671077144946946,3.754424052968585,9.290635403952272,-0.27758889776243895,0.19603251014891512,2.110532055139948,5.533064709054037,1.1927718397658564,0.46504651025282856
sensor_specific_force,raw_fd,1,right_forearm,19,16116,5.055695760847774,5.328756096063229,0.7767916960008215,0.7735990887007077,2.2190301496164233,5.055695760847774,7.721843365915868,16.536346504605994,2.3527896302295,5.1087499593726795,1.3312572511253147,0.7437928935313202,2.8793114230447134,5.804300397487979,-0.3902532017116066,0.39359916476196416,2.3600663982189243,5.039612618279663,1.1918320379320166,0.5509803256834815
sensor_specific_force,raw_fd,2,left_lower_leg,4,16116,3.579438911468545,3.8102033033479823,0.8434341013119917,0.8584121336709805,1.6005013688748744,3.579438911468545,5.544417437170158,11.812425897347657,1.3145536070153396,3.276206041034651,0.1320935287655577,0.703654052304472,1.9221938880270004,3.908074680828338,-0.15628296750985424,0.5211232349226029,2.0449836616452375,4.188839207261144,0.2630361366597947,0.5943352302897628
sensor_specific_force,raw_fd,3,right_lower_leg,5,16116,4.062644856157066,4.463078223607175,0.7563423472803301,0.8192441777829692,1.8928489190371023,4.062644856157066,6.5766342807586815,14.048166995441704,1.7467934779990983,4.52696017313064,-0.014677921072024716,0.6208552196421101,2.083168592775601,4.254929381273651,-0.05416099912394011,0.46588709265445777,2.2162067851921865,4.599935786657564,0.4082363100755202,0.6012259001549201
sensor_specific_force,raw_fd,4,head,15,16116,2.698800345545753,2.6557686095732596,0.902453775116812,0.9094194378396248,1.144441601236291,2.698800345545753,3.7250231432390026,7.429940373620304,1.504417543451067,3.1368021848843144,-0.02566536922499487,0.6436802811060831,1.4823610011952033,2.682600797705954,-0.03683791630912295,0.6261309334406724,1.0163792365504654,2.030626931722425,0.1860403902380831,0.8268753710767822
sensor_specific_force,savgol15_p3_fd,0,left_forearm,18,16116,3.704991421562042,4.040846679741927,0.8347887123228592,0.849400091537088,1.668359747280201,3.704991421562042,5.937875397286115,13.821603832557575,1.7852445360118596,3.9315777653493695,0.6340899562320889,0.7660690185651988,2.214953490358516,4.548944903546714,-0.28741819327897394,0.5506332498120415,1.4898378218265127,3.5826138791461855,1.1197037120095992,0.6651651109494636
sensor_specific_force,savgol15_p3_fd,1,right_forearm,19,16116,3.906595666763877,4.159626492567859,0.8614934317057144,0.8578660053407513,1.8953596303761713,3.906595666763877,6.053592980159705,13.643073642437251,2.0284225293183966,4.6943625313029855,1.3362963097192289,0.7755836119852729,2.0779064829733476,3.9322766534990747,-0.33569580648593794,0.6363760150086027,1.763546940420075,3.79573950872052,1.1459579123848782,0.703304002626892
sensor_specific_force,savgol15_p3_fd,2,left_lower_leg,4,16116,3.408684859909552,3.6855585311511834,0.8477944910420614,0.8625352265641704,1.5715136995403236,3.408684859909552,5.397304196119318,11.905035676546277,1.3158680937126612,3.611854815802533,0.12401106511312034,0.5957186197147921,1.89234710219075,3.7622503028704046,-0.15653964166746884,0.46569908067100707,1.8505114761005383,3.6810328044910707,0.3129360417784098,0.6496284587563724
sensor_specific_force,savgol15_p3_fd,3,right_lower_leg,5,16116,3.786226282319629,4.332387611085887,0.7540053523565767,0.8221517241534042,1.8796090599732338,3.786226282319629,6.478675619070886,13.542671544908057,1.7479813717088253,4.814176802675787,-0.02686143839321816,0.5174115152456652,1.9704325949192902,4.126123430450062,-0.044304907538392155,0.38940074163295735,1.91328516898155,4.0134217803939825,0.46129588445312375,0.6338071395941689
sensor_specific_force,savgol15_p3_fd,4,head,15,16116,1.7472258423210048,1.4463899934247788,0.9685192860768603,0.970869902743401,0.7803017033450367,1.7472258423210048,1.7953645577329553,4.933618282665752,0.94408788203281,1.5286790697952755,-0.015616071726283338,0.8903030408646473,0.8978813392882243,1.5314035770447212,-0.033063882466856265,0.8544560991437582,0.7279701243027801,1.2625669982311747,0.18328819897619428,0.9178819548404626
sensor_specific_force,savgol9_p3_fd,0,left_forearm,18,16116,4.1411434868220285,4.683966769061609,0.7914119420597725,0.8081493430769763,1.8178092250689832,4.1411434868220285,6.976357552661118,15.795049222662644,1.8641027731430404,4.113990134420335,0.6226329958816095,0.751358597513317,2.6355276866358315,5.7936099313693745,-0.283075691412675,0.4276989089647985,1.6087958902706256,3.915073845797884,1.1651051913864114,0.6216773803914994
sensor_specific_force,savgol9_p3_fd,1,right_forearm,19,16116,4.166401257090497,4.4866422757436375,0.8365064429587957,0.8330378799795845,1.9029563996264052,4.166401257090497,6.55980009576396,14.487195417249048,2.06385427194515,4.798377377570109,1.330861284479289,0.7659713985026417,2.301649432054963,4.5244411881291215,-0.3717307035747779,0.5397805449839105,1.8968816144674838,4.110338575963577,1.1765358657509812,0.6534915173987226
sensor_specific_force,savgol9_p3_fd,2,left_lower_leg,4,16116,3.2211941111929145,3.4905703994882735,0.8647177154548543,0.8777300787684952,1.4758824446365868,3.2211941111929145,5.116263640525893,10.922919053755672,1.2215792597950519,3.425778277158239,0.12787243607558021,0.648414441553827,1.744172359282465,3.4920123114080766,-0.15854477816556947,0.5698347291566067,1.8079120401071507,3.552764888657329,0.2917140138797662,0.6780567816806677
sensor_specific_force,savgol9_p3_fd,3,right_lower_leg,5,16116,3.630839903938356,4.1697640354145005,0.7757729886637484,0.8368892311116801,1.7711643996690056,3.630839903938356,6.243220156704195,13.259540311423269,1.6480033581034723,4.582762290974151,-0.01746958048570928,0.5813516293410742,1.874375665399763,3.976178854396088,-0.05074538925732757,0.46543554860546676,1.8824619608957303,3.9177911934389,0.43984463818640746,0.6621965224531274
sensor_specific_force,savgol9_p3_fd,4,head,15,16116,1.968698293610063,1.6450623138432574,0.9595825433953088,0.9626205823534608,0.8334972665844433,1.968698293610063,2.059834235568198,5.510097250811844,1.0950773765432766,1.8164984143777947,-0.018530369035557284,0.8438993331935879,1.0508548551698367,1.776320088232305,-0.03331013000258675,0.8014749058034456,0.7573508981903209,1.289849023718407,0.18387116012107982,0.9170287296622505
