group,mahalanobis,max_abs_z,ref,sequence_index_in_group
ALL/all,26.995479400534663,,TotalCapture_train,343
ALL/all,26.987662074500196,,TotalCapture_train,1301
DIP/train,26.987662074500196,,TotalCapture_train,3
DIP/all,26.987662074500196,,TotalCapture_train,3
AMASS/train,26.9513288760565,,TotalCapture_train,229
AMASS/all,26.9513288760565,,TotalCapture_train,229
ALL/all,26.9513288760565,,TotalCapture_train,229
AMASS/train,26.951261011554237,,TotalCapture_train,121
AMASS/all,26.951261011554237,,TotalCapture_train,121
ALL/all,26.951261011554237,,TotalCapture_train,121
AMASS/train,26.843160073430255,,TotalCapture_train,1003
AMASS/all,26.843160073430255,,TotalCapture_train,1003
ALL/all,26.843160073430255,,TotalCapture_train,1003
AMASS/train,26.820543287416335,,TotalCapture_train,209
AMASS/all,26.820543287416335,,TotalCapture_train,209
ALL/all,26.820543287416335,,TotalCapture_train,209
AMASS/train,26.82048618010896,,TotalCapture_train,1289
AMASS/all,26.82048618010896,,TotalCapture_train,1289
ALL/all,26.82048618010896,,TotalCapture_train,1289
AMASS/train,26.758044018421813,,TotalCapture_train,855
AMASS/all,26.758044018421813,,TotalCapture_train,855
ALL/all,26.758044018421813,,TotalCapture_train,855
AMASS/train,26.715459015434043,,TotalCapture_train,499
AMASS/all,26.715459015434043,,TotalCapture_train,499
ALL/all,26.715459015434043,,TotalCapture_train,499
AMASS/train,26.706233312434055,,TotalCapture_train,365
AMASS/all,26.706233312434055,,TotalCapture_train,365
ALL/all,26.706233312434055,,TotalCapture_train,365
AMASS/train,26.705016015882915,,TotalCapture_train,1057
AMASS/all,26.705016015882915,,TotalCapture_train,1057
ALL/all,26.705016015882915,,TotalCapture_train,1057
AMASS/train,26.69973300682117,,TotalCapture_train,1237
AMASS/all,26.69973300682117,,TotalCapture_train,1237
ALL/all,26.69973300682117,,TotalCapture_train,1237
AMASS/train,26.691579504734925,,TotalCapture_train,175
AMASS/all,26.691579504734925,,TotalCapture_train,175
ALL/all,26.691579504734925,,TotalCapture_train,175
AMASS/train,26.544898177483194,,TotalCapture_train,669
AMASS/all,26.544898177483194,,TotalCapture_train,669
ALL/all,26.544898177483194,,TotalCapture_train,669
AMASS/train,26.525426410540515,,TotalCapture_train,793
AMASS/all,26.525426410540515,,TotalCapture_train,793
ALL/all,26.525426410540515,,TotalCapture_train,793
AMASS/train,26.409801083962254,,TotalCapture_train,309
AMASS/all,26.409801083962254,,TotalCapture_train,309
ALL/all,26.409801083962254,,TotalCapture_train,309
AMASS/train,26.387987518969066,,TotalCapture_train,1253
AMASS/all,26.387987518969066,,TotalCapture_train,1253
ALL/all,26.387987518969066,,TotalCapture_train,1253
AMASS/train,26.380586487809953,,TotalCapture_train,353
AMASS/all,26.380586487809953,,TotalCapture_train,353
ALL/all,26.380586487809953,,TotalCapture_train,353
AMASS/train,26.366344230331215,,TotalCapture_train,971
AMASS/all,26.366344230331215,,TotalCapture_train,971
ALL/all,26.366344230331215,,TotalCapture_train,971
ALL/all,26.34637266064207,,TotalCapture_train,1397
TotalCapture/all,26.34637266064207,,TotalCapture_train,38
TotalCapture/val,26.34637266064207,,TotalCapture_train,2
AMASS/train,26.289185371867248,,TotalCapture_train,909
AMASS/all,26.289185371867248,,TotalCapture_train,909
ALL/all,26.289185371867248,,TotalCapture_train,909
AMASS/train,26.267550963948302,,TotalCapture_train,1063
AMASS/all,26.267550963948302,,TotalCapture_train,1063
ALL/all,26.267550963948302,,TotalCapture_train,1063
AMASS/train,26.247694652334207,,TotalCapture_train,387
AMASS/all,26.247694652334207,,TotalCapture_train,387
ALL/all,26.247694652334207,,TotalCapture_train,387
