base_l2,correction_corr,correction_cosine,dataset,harmful_rate,overcorrection_rate,pred_l2,sequence,split,valid_frames
1.026720643043518,0.3350940459432139,0.2756894826889038,TotalCapture,0.663412868976593,0.3563268184661865,1.2788493633270264,s1_acting3,train,2766
1.237722635269165,0.322691648687951,0.30686143040657043,TotalCapture,0.6450795531272888,0.3590453863143921,1.4503881931304932,s1_walking3,train,3394
2.080108880996704,0.00237596643428158,0.18351852893829346,TotalCapture,0.6425595283508301,0.27718254923820496,2.7845752239227295,s4_freestyle1,val,2016
1.0660039186477661,0.35260069102153424,0.2917177081108093,TotalCapture,0.6394879221916199,0.33570411801338196,1.2331656217575073,s2_walking1,train,3515
1.1452611684799194,0.1913995226235124,0.3066733777523041,TotalCapture,0.6378918886184692,0.33556756377220154,1.3204337358474731,s1_acting2,train,3700
0.3424391746520996,0.3927187975539717,0.2748969495296478,DIP,0.6367202997207642,0.34344279766082764,0.3916858434677124,s09_05,test,4537
0.2558978796005249,0.5818423288065004,0.38940533995628357,DIP,0.6339589953422546,0.40382295846939087,0.28600990772247314,s05_01_a,train,5807
0.28080326318740845,0.5217774256095714,0.3334958255290985,DIP,0.6196515560150146,0.3879139721393585,0.30059927701950073,s06_01_b,train,6371
0.4109163284301758,0.5721249474760072,0.403003990650177,DIP,0.6063848733901978,0.3902621865272522,0.5202037692070007,s10_01_a,test,5607
0.19496995210647583,0.3982850933679025,0.29666459560394287,DIP,0.6041917204856873,0.27923038601875305,0.21291139721870422,s04_05,train,5821
1.597333550453186,0.2828438880119393,0.2673913836479187,TotalCapture,0.5954835414886475,0.2631320655345917,1.7785571813583374,s1_freestyle3,train,2037
0.3155072331428528,0.5567305266714624,0.3997263014316559,DIP,0.5948755741119385,0.41703227162361145,0.30745676159858704,s10_05,test,5425
0.19152849912643433,0.42904615710498306,0.33706405758857727,DIP,0.594799280166626,0.3263382017612457,0.203347846865654,s03_05,train,6576
0.25188329815864563,0.39447619006896323,0.3583675026893616,DIP,0.5886371731758118,0.2947133481502533,0.25104886293411255,s02_05,train,5826
0.9857524037361145,0.3966149860198257,0.4005228281021118,TotalCapture,0.5818387269973755,0.3521357774734497,1.1008809804916382,s3_walking1,train,3535
0.19462257623672485,0.5562205760190694,0.39713579416275024,DIP,0.5800891518592834,0.35821694135665894,0.20936046540737152,s07_01,train,6730
1.3184831142425537,0.4712065293916033,0.4172686040401459,DIP,0.548950731754303,0.3001464009284973,1.4026274681091309,s10_04_c,test,2049
0.2669388949871063,0.627787985155106,0.36693647503852844,DIP,0.5174608826637268,0.2122114598751068,0.2322385609149933,s05_05,train,5372
1.1550202369689941,0.40151530525643164,0.37389305233955383,TotalCapture,0.5140999555587769,0.2165786325931549,1.1188409328460693,s1_freestyle2,train,2461
0.8642714619636536,0.29799292761438934,0.3372299373149872,TotalCapture,0.5112953782081604,0.17620818316936493,0.9148952960968018,s3_freestyle2,train,3497
0.9553040862083435,0.31418213810012613,0.2741735577583313,TotalCapture,0.5027840733528137,0.1575244516134262,0.963412880897522,s3_rom2,train,5316
0.2300449162721634,0.4500073989756274,0.41822755336761475,DIP,0.4999277591705322,0.2600577771663666,0.20341134071350098,s01_05,train,5538
1.825320839881897,0.51692358207529,0.40349358320236206,TotalCapture,0.491423100233078,0.22031624615192413,1.7179526090621948,s2_freestyle2,train,2087
3.623760461807251,0.3674565563048151,0.3110350966453552,DIP,0.48959577083587646,0.1313452571630478,3.6232593059539795,s10_04_b,test,1509
2.01106858253479,0.5846249709156393,0.3941003680229187,TotalCapture,0.48849186301231384,0.22012612223625183,1.7553305625915527,s2_acting2,train,3806
0.7534103393554688,0.9047450832012122,0.4666344225406647,DIP,0.47843995690345764,0.2947414517402649,0.4075958728790283,s10_01_c,test,2282
1.1432095766067505,0.199455362652339,0.24172885715961456,TotalCapture,0.47517555952072144,0.0949789360165596,1.156084418296814,s3_rom1,train,5696
2.039271831512451,0.44241763381722304,0.37049880623817444,TotalCapture,0.471342533826828,0.1642933040857315,1.9283620119094849,s4_freestyle3,val,2823
0.8676397204399109,0.5283294303087113,0.3754469156265259,TotalCapture,0.46268656849861145,0.15427032113075256,0.7883732914924622,s2_acting3,train,4824
0.36285942792892456,0.8758570789903871,0.5106087327003479,DIP,0.4503711462020874,0.26928243041038513,0.22218522429466248,s08_01_a,val,5658
0.5891620516777039,0.8856993054848059,0.5138543248176575,DIP,0.4463813304901123,0.27941635251045227,0.33901700377464294,s05_01_b,train,5140
0.6950342059135437,0.06250820632393178,0.31371012330055237,TotalCapture,0.43885424733161926,0.07750631868839264,0.7047321200370789,s2_rom2,train,5935
0.4091021716594696,0.8850613354980167,0.5236040353775024,DIP,0.42750516533851624,0.25513210892677307,0.25059255957603455,s03_01,train,16426
0.7446329593658447,0.37306664237683634,0.42704033851623535,TotalCapture,0.4240299165248871,0.17802710831165314,0.6875098943710327,s2_rom1,train,6417
0.9873859882354736,-0.13338931612310873,0.3710259795188904,TotalCapture,0.4203401207923889,0.11247684806585312,1.0754667520523071,s1_rom3,train,5939
0.8083367347717285,0.8891577624150162,0.5509385466575623,DIP,0.4093720614910126,0.2569822072982788,0.455971360206604,s09_01_c,test,2134
1.4754005670547485,0.5913294420251841,0.46702340245246887,TotalCapture,0.39924508333206177,0.1570773720741272,1.2710449695587158,s3_acting2,train,3709
0.6994329690933228,0.8570212265749182,0.5276710987091064,DIP,0.39921873807907104,0.20528845489025116,0.4500614106655121,s10_01_b,test,3328
0.3876678943634033,0.7975237790820134,0.48966696858406067,DIP,0.39731165766716003,0.1710919290781021,0.27189260721206665,s06_01_a,train,6026
2.6897783279418945,0.5669935258215527,0.43571192026138306,TotalCapture,0.3956723213195801,0.12295208871364594,2.3189737796783447,s2_freestyle1,train,2588
3.869365930557251,0.6667714134265768,0.4990829825401306,DIP,0.390274316072464,0.16359102725982666,2.9880731105804443,s08_04,val,802
0.6033539772033691,0.8981450662547363,0.5461940169334412,DIP,0.3778572082519531,0.20233413577079773,0.34036484360694885,s04_01,train,9511
0.6621900200843811,0.918978919686465,0.5908496379852295,DIP,0.3746049106121063,0.23525021970272064,0.33404380083084106,s02_01,train,9112
1.143955111503601,0.6394089420485424,0.5633053779602051,DIP,0.3718625605106354,0.19840867817401886,0.9607672095298767,s09_02_a,test,2765
0.3828163743019104,0.7741672434539794,0.5737507343292236,DIP,0.3702380955219269,0.21663762629032135,0.24736087024211884,s01_01,train,13776
0.7190760374069214,0.8769610459163092,0.5610783696174622,DIP,0.369716078042984,0.19045215845108032,0.44888734817504883,s09_01_a,test,4755
1.2272156476974487,0.5398391132030101,0.42603835463523865,TotalCapture,0.3579901158809662,0.07512355595827103,1.0937520265579224,s3_rom3,train,4856
0.6786496043205261,0.5001449366065602,0.4193841218948364,TotalCapture,0.35750290751457214,0.06603237986564636,0.5961434841156006,s2_rom3,train,5991
2.788663387298584,0.5457638576300806,0.44798043370246887,TotalCapture,0.3516220450401306,0.07540157437324524,2.4005937576293945,s2_freestyle3,train,3175
1.6943812370300293,0.5300007241887553,0.5440993309020996,DIP,0.34683793783187866,0.134782612323761,1.3946716785430908,s10_03_a,test,3036
0.9782065153121948,0.08670456161388161,0.474971204996109,TotalCapture,0.3448036015033722,0.08674304187297821,0.9675342440605164,s1_rom1,train,4888
1.086484670639038,0.6730943579666763,0.5796970129013062,DIP,0.31396183371543884,0.1351396143436432,0.8390581011772156,s10_02,test,3617
2.10434627532959,0.6124447735363497,0.5593695044517517,DIP,0.30987951159477234,0.09941480308771133,1.6544232368469238,s09_03_a,test,2905
1.2454062700271606,0.6447878499272232,0.5737171173095703,DIP,0.3061400055885315,0.1283535361289978,0.9424273371696472,s09_02_b,test,2557
0.5707154870033264,0.5702489420314322,0.5548925399780273,DIP,0.3000894784927368,0.0889054611325264,0.45667946338653564,s08_02,val,6706
0.7138791084289551,0.3429335885067729,0.5334174036979675,TotalCapture,0.29561492800712585,0.08817362785339355,0.6586413979530334,s1_rom2,train,6773
3.4865500926971436,0.8978445807900456,0.5831220149993896,DIP,0.2935065031051636,0.10389610379934311,1.7791422605514526,s03_04,train,1232
1.9329819679260254,0.6734861556784913,0.5613152980804443,DIP,0.28642305731773376,0.07831421494483948,1.4496362209320068,s10_03_b,test,3749
2.1847362518310547,0.5412552390358493,0.507736086845398,DIP,0.284343421459198,0.05444444343447685,1.7404462099075317,s01_02,train,5940
1.6339125633239746,0.5290326393813658,0.47367316484451294,TotalCapture,0.281256765127182,0.030173348262906075,1.4091503620147705,s3_freestyle1,train,3692
1.5267271995544434,0.6826334715967038,0.5829629898071289,DIP,0.2796703279018402,0.09149797260761261,1.125490427017212,s08_03,val,6916
1.139431118965149,0.7106865341978668,0.6089661121368408,DIP,0.2789640724658966,0.11219873279333115,0.804515540599823,s03_03,train,9460
4.5375895500183105,0.5739111428609817,0.5390259027481079,DIP,0.27841484546661377,0.06408094614744186,3.6444265842437744,s09_04,test,1186
0.5368837714195251,0.6901574220252681,0.5991601347923279,DIP,0.2729235291481018,0.09692080318927765,0.3902423083782196,s07_02,train,8801
1.2137792110443115,0.6906175428547182,0.6117649078369141,DIP,0.27121976017951965,0.10037802159786224,0.8691957592964172,s01_03,train,7936
4.960287570953369,0.6743007390321033,0.542243480682373,DIP,0.2697566747665405,0.058864425867795944,3.6196959018707275,s10_04_a,test,863
2.1149518489837646,0.6715547421237221,0.5998302102088928,DIP,0.2484566867351532,0.06591437011957169,1.5855997800827026,s09_03_b,test,3013
3.660646677017212,0.6318995059347191,0.6410120725631714,DIP,0.24808946251869202,0.1099720373749733,2.051917791366577,s01_04,train,1073
1.5602858066558838,0.7305937935276793,0.6490849256515503,DIP,0.23062171041965485,0.07805657386779785,1.0467495918273926,s06_03,train,6257
3.8467414379119873,0.8349461534543094,0.6228403449058533,DIP,0.2296486645936966,0.05758354812860489,2.1467125415802,s04_04,train,1167
