comparison,dataset,split,sequence_name,sensor,valid_frames,num_sequences,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,axis_rmse_x,axis_rmse_y,axis_rmse_z,energy_imu,energy_gt
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_03_poses::offset_aug_overlay,right_forearm,237,1,6.888321579801016e-10,2.624561238917522e-05,1.2434813470463268e-05,2.5978017220040783e-05,1.0000001192092896,1.0,1.0979719263559673e-05,9.49962850427255e-06,1.800901554815937e-05,9.79579272097908e-06,3.351615305291489e-05,2.8072679924662225e-05,1.2453450835892e-05,0.49606943130493164,0.49606701731681824
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_03_poses::offset_aug_overlay,left_lower_leg,237,1,1.7778932770440292e-09,4.2165072954958305e-05,1.3358638170757331e-05,2.6615860406309366e-05,0.9999998211860657,1.0,1.622384661459364e-05,7.650035513506737e-06,1.9971261281170882e-05,1.2454617717594374e-05,2.4104030671878718e-05,6.0423921240726486e-05,3.319072857266292e-05,0.09679754823446274,0.09680604189634323
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_03_poses::offset_aug_overlay,right_lower_leg,237,1,1.2131915472224364e-09,3.48309004039038e-05,1.2088933544873726e-05,2.5084336812142283e-05,0.9999997019767761,1.0,9.617239811632317e-06,4.731714852823643e-06,1.796773176465649e-05,1.356735265289899e-05,7.1596005000174046e-06,4.7674402594566345e-05,3.6269349948270246e-05,0.10716883838176727,0.10717011243104935
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_03_poses::offset_aug_overlay,head,237,1,4.614127746549457e-09,6.792737258365378e-05,1.6804378901724704e-05,3.7916332075838e-05,1.0000001192092896,1.0,1.357264682155801e-05,5.676197815773776e-06,3.397525506443344e-05,1.0761685189208947e-05,1.4211534107744228e-05,0.00011399653885746375,2.5400795493624173e-05,0.1959829032421112,0.1959773451089859
centered_ma9_oracle,AMASS,train,KIT/1229/washing_movement_left_arm_03_poses::offset_aug_overlay,overall_leaf_only,237,1,1.1708989333669706e-09,3.4218399378005415e-05,2.2530088244820945e-05,4.760224328492768e-05,1.0,1.0,2.3215265173348598e-05,1.1459433153504506e-05,3.484891203697771e-05,2.1281917724991217e-05,1.644733129069209e-05,4.901383363176137e-05,2.897975718951784e-05,0.49898624420166016,0.49898573756217957
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,overall_leaf_only,238,1,0.8508861064910889,0.9224348664283752,0.7127283215522766,1.458150863647461,0.6218839883804321,0.27436310052871704,1.1314682960510254,0.8373219966888428,0.4588499963283539,0.8420131206512451,1.0401601791381836,0.5863069295883179,1.0615880489349365,1.7733160257339478,0.7187060713768005
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,left_forearm,238,1,0.9189684987068176,0.9586284756660461,0.7430956959724426,1.5131784677505493,0.8431687951087952,0.7849434614181519,0.7611148357391357,0.907878577709198,0.47684773802757263,0.8445607423782349,1.1251238584518433,0.5928494930267334,1.067488193511963,2.833432912826538,2.384186029434204
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,right_forearm,238,1,0.8697295784950256,0.9325929284095764,0.7231297492980957,1.485335111618042,0.5591572523117065,0.27151405811309814,1.1257919073104858,0.8099902272224426,0.46542057394981384,0.8939782977104187,1.0048240423202515,0.6007798314094543,1.1129155158996582,1.6993440389633179,0.6427597999572754
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,left_lower_leg,238,1,0.8195383548736572,0.9052835702896118,0.6840384602546692,1.406256914138794,0.09941667318344116,0.13653148710727692,1.2828158140182495,0.8013254404067993,0.45154649019241333,0.7992433905601501,1.01603102684021,0.5873605608940125,1.039857268333435,1.4171870946884155,0.1354334056377411
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,right_lower_leg,238,1,0.816490113735199,0.903598427772522,0.7057325839996338,1.4411903619766235,0.0468028262257576,0.06486048549413681,1.2957056760787964,0.7763790488243103,0.47723445296287537,0.8635839819908142,0.9639376997947693,0.6171885132789612,1.0674141645431519,1.4450181722640991,0.1502765417098999
